measurement_family,anchor,feature,system_a,system_b,adjusted_score_a,adjusted_score_b,listener_bt_a,listener_bt_b,metric_winner,listener_winner,same_winner
TTSDS2,HSC–noise (historical reference),Hubert,Gemini,OpenAI,83.8301970367,86.6151204567,1.0853177459,-0.154786069503,OpenAI,Gemini,0
TTSDS2,HSC–noise (historical reference),Hubert,Gemini,Inworld,83.8301970367,82.8473072831,1.0853177459,-0.46092255346,Gemini,Gemini,1
TTSDS2,HSC–noise (historical reference),Hubert,Gemini,Grok,83.8301970367,83.8939225133,1.0853177459,-0.469609122939,Grok,Gemini,0
TTSDS2,HSC–noise (historical reference),Hubert,OpenAI,Inworld,86.6151204567,82.8473072831,-0.154786069503,-0.46092255346,OpenAI,OpenAI,1
TTSDS2,HSC–noise (historical reference),Hubert,OpenAI,Grok,86.6151204567,83.8939225133,-0.154786069503,-0.469609122939,OpenAI,OpenAI,1
TTSDS2,HSC–noise (historical reference),Hubert,Inworld,Grok,82.8473072831,83.8939225133,-0.46092255346,-0.469609122939,Grok,Inworld,0
TTSDS2,HSC–noise (historical reference),Wav2Vec2,Gemini,OpenAI,83.7513394541,85.0494659104,1.0853177459,-0.154786069503,OpenAI,Gemini,0
TTSDS2,HSC–noise (historical reference),Wav2Vec2,Gemini,Inworld,83.7513394541,81.4946268016,1.0853177459,-0.46092255346,Gemini,Gemini,1
TTSDS2,HSC–noise (historical reference),Wav2Vec2,Gemini,Grok,83.7513394541,82.2926630625,1.0853177459,-0.469609122939,Gemini,Gemini,1
TTSDS2,HSC–noise (historical reference),Wav2Vec2,OpenAI,Inworld,85.0494659104,81.4946268016,-0.154786069503,-0.46092255346,OpenAI,OpenAI,1
TTSDS2,HSC–noise (historical reference),Wav2Vec2,OpenAI,Grok,85.0494659104,82.2926630625,-0.154786069503,-0.469609122939,OpenAI,OpenAI,1
TTSDS2,HSC–noise (historical reference),Wav2Vec2,Inworld,Grok,81.4946268016,82.2926630625,-0.46092255346,-0.469609122939,Grok,Inworld,0
TTSDS2,HSC–noise (historical reference),WavLM,Gemini,OpenAI,87.0546470556,89.375348971,1.0853177459,-0.154786069503,OpenAI,Gemini,0
TTSDS2,HSC–noise (historical reference),WavLM,Gemini,Inworld,87.0546470556,86.809799415,1.0853177459,-0.46092255346,Gemini,Gemini,1
TTSDS2,HSC–noise (historical reference),WavLM,Gemini,Grok,87.0546470556,87.6267077188,1.0853177459,-0.469609122939,Grok,Gemini,0
TTSDS2,HSC–noise (historical reference),WavLM,OpenAI,Inworld,89.375348971,86.809799415,-0.154786069503,-0.46092255346,OpenAI,OpenAI,1
TTSDS2,HSC–noise (historical reference),WavLM,OpenAI,Grok,89.375348971,87.6267077188,-0.154786069503,-0.469609122939,OpenAI,OpenAI,1
TTSDS2,HSC–noise (historical reference),WavLM,Inworld,Grok,86.809799415,87.6267077188,-0.46092255346,-0.469609122939,Grok,Inworld,0
TTSDS2,HSC–noise (historical reference),Wav2Vec2 Activations,Gemini,OpenAI,85.6174393381,84.2734234344,1.0853177459,-0.154786069503,Gemini,Gemini,1
TTSDS2,HSC–noise (historical reference),Wav2Vec2 Activations,Gemini,Inworld,85.6174393381,80.6384333743,1.0853177459,-0.46092255346,Gemini,Gemini,1
TTSDS2,HSC–noise (historical reference),Wav2Vec2 Activations,Gemini,Grok,85.6174393381,81.884034609,1.0853177459,-0.469609122939,Gemini,Gemini,1
TTSDS2,HSC–noise (historical reference),Wav2Vec2 Activations,OpenAI,Inworld,84.2734234344,80.6384333743,-0.154786069503,-0.46092255346,OpenAI,OpenAI,1
TTSDS2,HSC–noise (historical reference),Wav2Vec2 Activations,OpenAI,Grok,84.2734234344,81.884034609,-0.154786069503,-0.469609122939,OpenAI,OpenAI,1
TTSDS2,HSC–noise (historical reference),Wav2Vec2 Activations,Inworld,Grok,80.6384333743,81.884034609,-0.46092255346,-0.469609122939,Grok,Inworld,0
TTSDS2,HSC–noise (historical reference),Whisper Activations,Gemini,OpenAI,61.4946509332,60.8901545613,1.0853177459,-0.154786069503,Gemini,Gemini,1
TTSDS2,HSC–noise (historical reference),Whisper Activations,Gemini,Inworld,61.4946509332,61.5644155983,1.0853177459,-0.46092255346,Inworld,Gemini,0
TTSDS2,HSC–noise (historical reference),Whisper Activations,Gemini,Grok,61.4946509332,59.3646868152,1.0853177459,-0.469609122939,Gemini,Gemini,1
TTSDS2,HSC–noise (historical reference),Whisper Activations,OpenAI,Inworld,60.8901545613,61.5644155983,-0.154786069503,-0.46092255346,Inworld,OpenAI,0
TTSDS2,HSC–noise (historical reference),Whisper Activations,OpenAI,Grok,60.8901545613,59.3646868152,-0.154786069503,-0.469609122939,OpenAI,OpenAI,1
TTSDS2,HSC–noise (historical reference),Whisper Activations,Inworld,Grok,61.5644155983,59.3646868152,-0.46092255346,-0.469609122939,Inworld,Inworld,1
TTSDS2,HSC–noise (historical reference),Allosaurus SR,Gemini,OpenAI,82.2315728925,87.5516517373,1.0853177459,-0.154786069503,OpenAI,Gemini,0
TTSDS2,HSC–noise (historical reference),Allosaurus SR,Gemini,Inworld,82.2315728925,88.8869218914,1.0853177459,-0.46092255346,Inworld,Gemini,0
TTSDS2,HSC–noise (historical reference),Allosaurus SR,Gemini,Grok,82.2315728925,84.4245752752,1.0853177459,-0.469609122939,Grok,Gemini,0
TTSDS2,HSC–noise (historical reference),Allosaurus SR,OpenAI,Inworld,87.5516517373,88.8869218914,-0.154786069503,-0.46092255346,Inworld,OpenAI,0
TTSDS2,HSC–noise (historical reference),Allosaurus SR,OpenAI,Grok,87.5516517373,84.4245752752,-0.154786069503,-0.469609122939,OpenAI,OpenAI,1
TTSDS2,HSC–noise (historical reference),Allosaurus SR,Inworld,Grok,88.8869218914,84.4245752752,-0.46092255346,-0.469609122939,Inworld,Inworld,1
TTSDS2,HSC–noise (historical reference),Hubert Token SR,Gemini,OpenAI,65.2380359088,77.0243267203,1.0853177459,-0.154786069503,OpenAI,Gemini,0
TTSDS2,HSC–noise (historical reference),Hubert Token SR,Gemini,Inworld,65.2380359088,80.4894785789,1.0853177459,-0.46092255346,Inworld,Gemini,0
TTSDS2,HSC–noise (historical reference),Hubert Token SR,Gemini,Grok,65.2380359088,77.2244305249,1.0853177459,-0.469609122939,Grok,Gemini,0
TTSDS2,HSC–noise (historical reference),Hubert Token SR,OpenAI,Inworld,77.0243267203,80.4894785789,-0.154786069503,-0.46092255346,Inworld,OpenAI,0
TTSDS2,HSC–noise (historical reference),Hubert Token SR,OpenAI,Grok,77.0243267203,77.2244305249,-0.154786069503,-0.469609122939,Grok,OpenAI,0
TTSDS2,HSC–noise (historical reference),Hubert Token SR,Inworld,Grok,80.4894785789,77.2244305249,-0.46092255346,-0.469609122939,Inworld,Inworld,1
TTSDS2,HSC–noise (historical reference),MPM,Gemini,OpenAI,91.5741028782,93.7998356694,1.0853177459,-0.154786069503,OpenAI,Gemini,0
TTSDS2,HSC–noise (historical reference),MPM,Gemini,Inworld,91.5741028782,86.8835198749,1.0853177459,-0.46092255346,Gemini,Gemini,1
TTSDS2,HSC–noise (historical reference),MPM,Gemini,Grok,91.5741028782,93.4877498783,1.0853177459,-0.469609122939,Grok,Gemini,0
TTSDS2,HSC–noise (historical reference),MPM,OpenAI,Inworld,93.7998356694,86.8835198749,-0.154786069503,-0.46092255346,OpenAI,OpenAI,1
TTSDS2,HSC–noise (historical reference),MPM,OpenAI,Grok,93.7998356694,93.4877498783,-0.154786069503,-0.469609122939,OpenAI,OpenAI,1
TTSDS2,HSC–noise (historical reference),MPM,Inworld,Grok,86.8835198749,93.4877498783,-0.46092255346,-0.469609122939,Grok,Inworld,0
TTSDS2,HSC–noise (historical reference),Pitch,Gemini,OpenAI,52.150582729,63.0461018377,1.0853177459,-0.154786069503,OpenAI,Gemini,0
TTSDS2,HSC–noise (historical reference),Pitch,Gemini,Inworld,52.150582729,36.9001447102,1.0853177459,-0.46092255346,Gemini,Gemini,1
