measurement_family,feature,system,rated_conversations,score_mean,score_sample_sd,bt_log_strength_mean,bt_log_strength_sample_sd
cds,Phone rate,Human,70,50.3395435005,3.29766204903,1.78876432381,0.625039229824
cds,Phone rate,Gemini,64,47.6444847442,0.255802890814,0.4518096496,0.786871986229
cds,Phone rate,OpenAI,68,46.6457127434,0.522996682911,-0.573503736252,0.720520539502
cds,Phone rate,Inworld,64,46.1168296293,0.779822931579,-0.803148382653,0.826984089251
cds,Phone rate,Grok,63,47.2880950751,0.202402475337,-0.994691308369,0.783075300045
cds,Sylber rate,Human,70,50.1935401159,3.18120925405,1.78876432381,0.625039229824
cds,Sylber rate,Gemini,64,48.0111258976,0.389042917841,0.4518096496,0.786871986229
cds,Sylber rate,OpenAI,68,46.6128110191,0.684898251467,-0.573503736252,0.720520539502
cds,Sylber rate,Inworld,64,47.2627775978,2.00495644899,-0.803148382653,0.826984089251
cds,Sylber rate,Grok,63,47.4773460405,0.283927600847,-0.994691308369,0.783075300045
cds,Sylber unit duration,Human,70,49.4883593379,3.75930173193,1.78876432381,0.625039229824
cds,Sylber unit duration,Gemini,64,46.8355135851,0.511714704201,0.4518096496,0.786871986229
cds,Sylber unit duration,OpenAI,68,46.4211613671,0.358542731503,-0.573503736252,0.720520539502
cds,Sylber unit duration,Inworld,64,46.4287324093,0.384582536461,-0.803148382653,0.826984089251
cds,Sylber unit duration,Grok,63,46.47466332,0.43069837395,-0.994691308369,0.783075300045
cds,nPVI,Human,70,49.2688602204,1.70262652993,1.78876432381,0.625039229824
cds,nPVI,Gemini,64,47.6546671353,0.705832099309,0.4518096496,0.786871986229
cds,nPVI,OpenAI,68,47.3910272693,0.739740456417,-0.573503736252,0.720520539502
cds,nPVI,Inworld,64,47.4995075434,1.32487538219,-0.803148382653,0.826984089251
cds,nPVI,Grok,63,47.8839849391,1.19673012442,-0.994691308369,0.783075300045
cds,Turn-final lengthening,Human,70,50.7834615186,1.54131448739,1.78876432381,0.625039229824
cds,Turn-final lengthening,Gemini,64,50.7011935887,1.29332817178,0.4518096496,0.786871986229
cds,Turn-final lengthening,OpenAI,68,51.8277540572,1.46256622867,-0.573503736252,0.720520539502
cds,Turn-final lengthening,Inworld,64,51.8692673466,1.6154465204,-0.803148382653,0.826984089251
cds,Turn-final lengthening,Grok,63,49.9452130692,1.14121048829,-0.994691308369,0.783075300045
cds,Turn duration,Human,70,49.1542772311,1.39356214861,1.78876432381,0.625039229824
cds,Turn duration,Gemini,64,50.4968538114,0.206336593059,0.4518096496,0.786871986229
cds,Turn duration,OpenAI,69,50.2838882965,0.918695603805,-0.580612627889,0.717636606326
cds,Turn duration,Inworld,64,50.8994066355,0.646338076744,-0.803148382653,0.826984089251
cds,Turn duration,Grok,63,50.4196649218,0.0915517350008,-0.994691308369,0.783075300045
cds,Signed response gap,Human,70,47.5855344738,1.27746831499,1.78876432381,0.625039229824
cds,Signed response gap,Gemini,64,46.4446928711,0.689630670128,0.4518096496,0.786871986229
cds,Signed response gap,OpenAI,69,46.5588751386,0.662935098104,-0.580612627889,0.717636606326
cds,Signed response gap,Inworld,64,46.3316662908,0.963566790872,-0.803148382653,0.826984089251
cds,Signed response gap,Grok,63,46.1463681784,0.849554717515,-0.994691308369,0.783075300045
cds,Floor-time share,Human,70,49.3398930346,0.354143976059,1.78876432381,0.625039229824
