provider,feature,reference_draws,score_mean,score_q025,score_median,score_q975,score_min,score_max,interval_interpretation,rank_of_mean,score_sample_sd
gemini,Hubert,50,89.0816220083,88.5944705028,89.0829915716,89.7436477873,88.5202646485,89.8046791248,Empirical range across reference draws; not a confidence interval,2,0.284029213365
grok,Hubert,50,88.407121059,87.7776900366,88.390407235,89.1314613074,87.6133790831,89.217974132,Empirical range across reference draws; not a confidence interval,3,0.319357921885
inworld,Hubert,50,87.6922112393,87.0489604417,87.6843652919,88.1159877247,86.9769290313,88.1478057184,Empirical range across reference draws; not a confidence interval,4,0.252775852801
openai,Hubert,50,91.1166999329,90.6067385095,91.1298174314,91.6032998455,90.5112672787,91.6481095956,Empirical range across reference draws; not a confidence interval,1,0.248523081468
gemini,Wav2Vec2,50,88.8956520035,88.4618149858,88.8826890268,89.4252137195,88.3565663272,89.4802213105,Empirical range across reference draws; not a confidence interval,2,0.223832403931
grok,Wav2Vec2,50,87.6033778027,87.1083289111,87.638941276,88.1431742899,87.0504345321,88.2587914241,Empirical range across reference draws; not a confidence interval,3,0.241989812104
inworld,Wav2Vec2,50,86.7208343546,86.1777797093,86.7237991023,87.1429472071,86.0207944628,87.2119812999,Empirical range across reference draws; not a confidence interval,4,0.247472734182
openai,Wav2Vec2,50,89.926168414,89.4382197671,89.9346531154,90.3118532518,89.4021364009,90.4720837242,Empirical range across reference draws; not a confidence interval,1,0.231076046961
gemini,WavLM,50,91.0329146722,90.6322093239,91.0432836872,91.631911677,90.4641706252,91.679809007,Empirical range across reference draws; not a confidence interval,2,0.266759388817
grok,WavLM,50,90.5626752926,89.960834543,90.6065110239,91.2254708281,89.8930158013,91.2718825839,Empirical range across reference draws; not a confidence interval,3,0.288792276293
inworld,WavLM,50,90.2240428193,89.6645910259,90.2352043375,90.6176318815,89.396507422,90.7665540278,Empirical range across reference draws; not a confidence interval,4,0.253470315134
openai,WavLM,50,92.4454210362,91.9840758981,92.4308578655,92.8193253974,91.7498111874,92.8829499746,Empirical range across reference draws; not a confidence interval,1,0.227868376769
gemini,Wav2Vec2 Activations,50,88.7258848101,87.7125785842,88.7616261746,89.8525068577,87.3148845705,90.2305575971,Empirical range across reference draws; not a confidence interval,1,0.560807456879
grok,Wav2Vec2 Activations,50,84.826888639,83.7043341929,84.8399203931,85.9481309449,83.3394888987,86.6031756171,Empirical range across reference draws; not a confidence interval,3,0.632611608909
inworld,Wav2Vec2 Activations,50,83.836733789,82.6701314495,83.8701235019,84.9400608531,82.1183240581,85.6195216125,Empirical range across reference draws; not a confidence interval,4,0.692794030828
openai,Wav2Vec2 Activations,50,87.6852377376,86.5601410918,87.6991129589,88.8413507752,86.07976265,89.4342566066,Empirical range across reference draws; not a confidence interval,2,0.663945200526
gemini,Whisper Activations,50,65.5967014495,64.2780390638,65.7302286326,66.4522843888,63.5764251229,66.4962922369,Empirical range across reference draws; not a confidence interval,2,0.581714474861
grok,Whisper Activations,50,64.5095687034,63.838314966,64.5245951489,65.3804764735,63.6080353142,65.5795520993,Empirical range across reference draws; not a confidence interval,3,0.415043977492
inworld,Whisper Activations,50,66.4668388473,64.8767544855,66.5510849058,67.4187127224,64.6213589009,67.6088723486,Empirical range across reference draws; not a confidence interval,1,0.606976207613
openai,Whisper Activations,50,63.8304102388,60.5237587635,63.9345298391,65.8558506668,59.5278522414,66.2910789545,Empirical range across reference draws; not a confidence interval,4,1.5005039292
gemini,Allosaurus SR,50,75.8476072394,73.8415388899,75.9762519857,77.5840967467,73.7022589289,78.7910985771,Empirical range across reference draws; not a confidence interval,4,1.14020003365
grok,Allosaurus SR,50,78.2910814631,75.9320257175,78.3322512955,80.5765167618,75.528061336,81.5236962791,Empirical range across reference draws; not a confidence interval,3,1.3265361474
inworld,Allosaurus SR,50,82.7478516094,79.9863086769,82.8270166154,85.4308182148,79.5341278953,86.5267835422,Empirical range across reference draws; not a confidence interval,1,1.56447874575
openai,Allosaurus SR,50,80.6946333645,78.1477069842,80.7513493054,83.1764806885,77.7296737635,84.2787237808,Empirical range across reference draws; not a confidence interval,2,1.45465357745
gemini,Hubert Token SR,50,71.5201538927,68.766100564,71.4780597917,75.3703293222,68.2146305754,75.8454788931,Empirical range across reference draws; not a confidence interval,4,1.75866202401
grok,Hubert Token SR,50,79.3631668525,77.0253761316,79.0313873993,82.4117047445,76.6045444531,83.3214252786,Empirical range across reference draws; not a confidence interval,2,1.52616910243
inworld,Hubert Token SR,50,83.0560625047,79.9571673286,82.9210505161,86.5543234084,79.458955467,87.8450319637,Empirical range across reference draws; not a confidence interval,1,1.91642106048
openai,Hubert Token SR,50,77.8806815694,74.8529514614,77.8635253889,81.0108496908,74.5405980108,82.8897085425,Empirical range across reference draws; not a confidence interval,3,1.7564070352
gemini,MPM,50,95.1894772551,94.0304582254,95.3089456004,96.227760087,93.604983313,96.4153485121,Empirical range across reference draws; not a confidence interval,3,0.571326338749
grok,MPM,50,96.2017080372,95.2986636676,96.286983173,96.9115608366,95.1651955643,97.1499150516,Empirical range across reference draws; not a confidence interval,2,0.443796984355
