feature,unique_conversation_pairs,unique_callers,excluded_pairs,published_matched_pair_spearman,residual_global_rank_correlation,score_rank_variance_fraction_between_groups,preference_rank_variance_fraction_between_groups,oriented_groups,protocol_and_pair_centred_rank_correlation
Hubert,294,51,1,-0.162835854207,-0.105348812572,0.686294376459,0.416525846697,12,-0.129537680761
Wav2Vec2,294,51,1,0.116146234081,-0.0809179520481,0.732819315263,0.416525846697,12,-0.09697516609
WavLM,294,51,1,-0.273184757533,-0.114856279047,0.636941783187,0.416525846697,12,-0.111342403432
Wav2Vec2 Activations,294,51,1,0.555116522955,0.113743648911,0.798777563027,0.416525846697,12,0.0460085715519
Whisper Activations,294,51,1,0.105305946241,-0.079121880819,0.224617238113,0.416525846697,12,-0.122566451514
Allosaurus SR,294,51,1,-0.40934385585,-0.0647281809795,0.706228951022,0.416525846697,12,-0.0153775248308
Hubert Token SR,294,51,1,-0.593612106784,-0.20292770533,0.69721970233,0.416525846697,12,-0.181025483607
MPM,294,51,1,-0.0362235769932,-0.0215827265418,0.778260691764,0.416525846697,12,-0.0992043222096
Pitch,294,51,1,-0.0869019508773,-0.015773136391,0.68770193331,0.416525846697,12,-0.15754563111
DVector,294,51,1,0.418529122032,-0.07240073497,0.674032184534,0.416525846697,12,-0.216939927569
WeSpeaker,294,51,1,0.198605778739,0.0160929890617,0.4177532562,0.416525846697,12,0.00310985104558
Overall TTSDS2,294,51,1,-0.0622293789611,-0.0740057897529,0.59214624057,0.416525846697,12,-0.182160585162
