feature,provider_a,provider_b,unique_conversation_pairs,unique_callers,within_pair_spearman_single_canonical_orientation,mean_score_difference_a_minus_b,mean_listener_preference_for_a,exact_listener_ties
Hubert,gemini,grok,47,27,0.156396081177,-1.31272873024,0.845744680851,4
Hubert,gemini,inworld,48,28,-0.11023509155,0.490090549794,0.805902777778,2
Hubert,gemini,openai,50,31,-0.0323972610922,-3.18651109418,0.769333333333,3
Hubert,inworld,grok,49,28,0.0730971466406,-1.63924923437,0.542006802721,8
Hubert,openai,grok,51,31,0.137147905591,2.3118319247,0.542973856209,13
Hubert,openai,inworld,49,28,-0.181748044664,3.79368667281,0.60425170068,9
Wav2Vec2,gemini,grok,47,27,0.122627344973,0.559427271005,0.845744680851,4
Wav2Vec2,gemini,inworld,48,28,-0.0138729279705,1.92706794454,0.805902777778,2
Wav2Vec2,gemini,openai,50,31,-0.0825102450173,-1.47326112701,0.769333333333,3
Wav2Vec2,inworld,grok,49,28,0.0840155843927,-1.26395399809,0.542006802721,8
Wav2Vec2,openai,grok,51,31,0.119386427831,2.33556519487,0.542973856209,13
Wav2Vec2,openai,inworld,49,28,-0.114793647661,3.4128282165,0.60425170068,9
WavLM,gemini,grok,47,27,0.16052474053,-1.58632419723,0.845744680851,4
WavLM,gemini,inworld,48,28,-0.0948079351343,-0.283329803215,0.805902777778,2
WavLM,gemini,openai,50,31,-0.0614667068457,-2.6815002403,0.769333333333,3
WavLM,inworld,grok,49,28,0.0422897236876,-1.1656252525,0.542006802721,8
WavLM,openai,grok,51,31,0.136690135545,1.49865959133,0.542973856209,13
WavLM,openai,inworld,49,28,-0.124042912021,2.5106229383,0.60425170068,9
Wav2Vec2 Activations,gemini,grok,47,27,0.189795086692,4.27677299666,0.845744680851,4
Wav2Vec2 Activations,gemini,inworld,48,28,0.0844464121688,5.57549702386,0.805902777778,2
Wav2Vec2 Activations,gemini,openai,50,31,-0.093815029477,2.19010757415,0.769333333333,3
Wav2Vec2 Activations,inworld,grok,49,28,0.280034861219,-1.28847775524,0.542006802721,8
Wav2Vec2 Activations,openai,grok,51,31,0.112107884109,1.90464933123,0.542973856209,13
Wav2Vec2 Activations,openai,inworld,49,28,0.00888957074549,3.29753698327,0.60425170068,9
Whisper Activations,gemini,grok,47,27,-0.108947309504,2.89323073855,0.845744680851,4
Whisper Activations,gemini,inworld,48,28,-0.124626095668,0.0230931340292,0.805902777778,2
Whisper Activations,gemini,openai,50,31,-0.0647455837236,1.4068712358,0.769333333333,3
Whisper Activations,inworld,grok,49,28,-0.260812259542,2.9158044391,0.542006802721,8
Whisper Activations,openai,grok,51,31,-0.0877545176961,1.53944048657,0.542973856209,13
Whisper Activations,openai,inworld,49,28,-0.00765633549756,-1.32259905563,0.60425170068,9
Allosaurus SR,gemini,grok,47,27,-0.187083728311,-2.52877339093,0.845744680851,4
Allosaurus SR,gemini,inworld,48,28,-0.0905481979151,-7.49484792506,0.805902777778,2
Allosaurus SR,gemini,openai,50,31,0.0309780457272,-5.6361979101,0.769333333333,3
Allosaurus SR,inworld,grok,49,28,-0.0947802413314,5.20939387864,0.542006802721,8
Allosaurus SR,openai,grok,51,31,-0.21029955884,3.00009214239,0.542973856209,13
Allosaurus SR,openai,inworld,49,28,0.0206566904028,-1.80410754174,0.60425170068,9
Hubert Token SR,gemini,grok,47,27,-0.0106605681811,-14.674042482,0.845744680851,4
Hubert Token SR,gemini,inworld,48,28,-0.0477205696577,-18.4183751889,0.805902777778,2
Hubert Token SR,gemini,openai,50,31,0.0540769992551,-13.1305321295,0.769333333333,3
Hubert Token SR,inworld,grok,49,28,-0.0783256942965,4.44865137589,0.542006802721,8
Hubert Token SR,openai,grok,51,31,-0.0903180299502,-1.08800116969,0.542973856209,13
Hubert Token SR,openai,inworld,49,28,-0.200297958184,-5.01421005393,0.60425170068,9
MPM,gemini,grok,47,27,-0.0949591651275,-4.17326022305,0.845744680851,4
MPM,gemini,inworld,48,28,-0.104248433836,4.90674481055,0.805902777778,2
MPM,gemini,openai,50,31,-0.00709607682533,-3.37418350151,0.769333333333,3
MPM,inworld,grok,49,28,0.26342653337,-8.72882491825,0.542006802721,8
MPM,openai,grok,51,31,0.156236916482,0.0452608805513,0.542973856209,13
MPM,openai,inworld,49,28,0.0616617623964,8.83546395332,0.60425170068,9
Pitch,gemini,grok,47,27,-0.0976089017275,-22.7409522401,0.845744680851,4
Pitch,gemini,inworld,48,28,-0.18207498411,18.7091149533,0.805902777778,2
Pitch,gemini,openai,50,31,-0.0175199689894,-16.9304450964,0.769333333333,3
Pitch,inworld,grok,49,28,0.144605224876,-38.6086460809,0.542006802721,8
Pitch,openai,grok,51,31,0.0970930266216,-1.71224271737,0.542973856209,13
Pitch,openai,inworld,49,28,0.0392066039237,37.9486522468,0.60425170068,9
DVector,gemini,grok,47,27,-0.0714812664166,5.17723243682,0.845744680851,4
