anchor,metric,system,adjusted_conversation_cds,listener_bt_log_strength,eligible_conversations
hsc_msc,allosaurus_rate,gemini,47.6384533738458,1.08531774590074,73
hsc_msc,allosaurus_rate,openai,46.6184443162312,-0.154786069502578,76
hsc_msc,allosaurus_rate,inworld,46.1398397058474,-0.460922553459604,75
hsc_msc,allosaurus_rate,grok,47.2750908193542,-0.469609122938555,72
hsc_behavior_sd,allosaurus_rate,gemini,42.465351486114,1.08531774590074,73
hsc_behavior_sd,allosaurus_rate,openai,37.4705297064891,-0.154786069502578,76
hsc_behavior_sd,allosaurus_rate,inworld,34.2652820585203,-0.460922553459604,75
hsc_behavior_sd,allosaurus_rate,grok,40.0266978281431,-0.469609122938555,72
hsc_msc,sylber_rate,gemini,48.0082656432687,1.08531774590074,73
hsc_msc,sylber_rate,openai,46.6844521361938,-0.154786069502578,76
hsc_msc,sylber_rate,inworld,47.3641624090087,-0.460922553459604,75
hsc_msc,sylber_rate,grok,47.4403201879374,-0.469609122938555,72
hsc_behavior_sd,sylber_rate,gemini,50.6167445188121,1.08531774590074,73
hsc_behavior_sd,sylber_rate,openai,48.9485467543619,-0.154786069502578,76
hsc_behavior_sd,sylber_rate,inworld,46.4562367386633,-0.460922553459604,75
hsc_behavior_sd,sylber_rate,grok,49.3006003296521,-0.469609122938555,72
hsc_msc,sylber_duration,gemini,46.8177361015881,1.08531774590074,73
hsc_msc,sylber_duration,openai,46.3783677381362,-0.154786069502578,76
hsc_msc,sylber_duration,inworld,46.3288887217262,-0.460922553459604,75
hsc_msc,sylber_duration,grok,46.4408854062577,-0.469609122938555,72
hsc_behavior_sd,sylber_duration,gemini,40.1543212392197,1.08531774590074,73
hsc_behavior_sd,sylber_duration,openai,36.828739125199,-0.154786069502578,76
hsc_behavior_sd,sylber_duration,inworld,37.0580487924012,-0.460922553459604,75
hsc_behavior_sd,sylber_duration,grok,35.8280937522458,-0.469609122938555,72
hsc_msc,sylber_npvi,gemini,47.6821542496468,1.08531774590074,73
hsc_msc,sylber_npvi,openai,47.3644157484871,-0.154786069502578,76
hsc_msc,sylber_npvi,inworld,47.7791876559616,-0.460922553459604,75
hsc_msc,sylber_npvi,grok,47.9006205054328,-0.469609122938555,72
hsc_behavior_sd,sylber_npvi,gemini,49.8856974391992,1.08531774590074,73
hsc_behavior_sd,sylber_npvi,openai,49.4066429344478,-0.154786069502578,76
hsc_behavior_sd,sylber_npvi,inworld,48.9335986419593,-0.460922553459604,75
hsc_behavior_sd,sylber_npvi,grok,50.1522122679184,-0.469609122938555,72
hsc_msc,sylber_final_lengthening,gemini,50.7017852258382,1.08531774590074,73
hsc_msc,sylber_final_lengthening,openai,51.8519445797441,-0.154786069502578,76
hsc_msc,sylber_final_lengthening,inworld,51.8887546513572,-0.460922553459604,75
hsc_msc,sylber_final_lengthening,grok,49.9654662852674,-0.469609122938555,72
hsc_behavior_sd,sylber_final_lengthening,gemini,46.4850646386607,1.08531774590074,73
hsc_behavior_sd,sylber_final_lengthening,openai,47.3348473012425,-0.154786069502578,76
hsc_behavior_sd,sylber_final_lengthening,inworld,48.1688872073447,-0.460922553459604,75
hsc_behavior_sd,sylber_final_lengthening,grok,44.9209166143414,-0.469609122938555,72
hsc_msc,turn_duration,gemini,50.5258637686306,1.08531774590074,73
hsc_msc,turn_duration,openai,50.2998132423213,-0.154786069502578,77
hsc_msc,turn_duration,inworld,50.8662217831405,-0.460922553459604,75
hsc_msc,turn_duration,grok,50.3911516044746,-0.469609122938555,72
hsc_behavior_sd,turn_duration,gemini,51.4246363668805,1.08531774590074,73
hsc_behavior_sd,turn_duration,openai,47.9786381792934,-0.154786069502578,77
hsc_behavior_sd,turn_duration,inworld,55.2397680509016,-0.460922553459604,75
hsc_behavior_sd,turn_duration,grok,50.7680257950514,-0.469609122938555,72
hsc_msc,signed_response_gap,gemini,46.5357090331437,1.08531774590074,73
hsc_msc,signed_response_gap,openai,46.6049142457714,-0.154786069502578,77
hsc_msc,signed_response_gap,inworld,46.3595727933975,-0.460922553459604,75
