anchor,metric,system_a,system_b,listener_favours,cds_favours,agrees,estimator,eligible_conversations
hsc_msc,allosaurus_rate,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,allosaurus_rate,gemini,inworld,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,allosaurus_rate,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,allosaurus_rate,openai,inworld,openai,openai,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,allosaurus_rate,openai,grok,openai,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,allosaurus_rate,inworld,grok,inworld,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,allosaurus_rate,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,allosaurus_rate,gemini,inworld,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,allosaurus_rate,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,allosaurus_rate,openai,inworld,openai,openai,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,allosaurus_rate,openai,grok,openai,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,allosaurus_rate,inworld,grok,inworld,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_rate,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_rate,gemini,inworld,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_rate,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_rate,openai,inworld,openai,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_rate,openai,grok,openai,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_rate,inworld,grok,inworld,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_rate,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_rate,gemini,inworld,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_rate,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_rate,openai,inworld,openai,openai,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_rate,openai,grok,openai,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_rate,inworld,grok,inworld,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_duration,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_duration,gemini,inworld,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_duration,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_duration,openai,inworld,openai,openai,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_duration,openai,grok,openai,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_duration,inworld,grok,inworld,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_duration,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_duration,gemini,inworld,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_duration,gemini,grok,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_duration,openai,inworld,openai,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_duration,openai,grok,openai,openai,1,caller_scenario_adjusted_conversation_cds,296
hsc_behavior_sd,sylber_duration,inworld,grok,inworld,inworld,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_npvi,gemini,openai,gemini,gemini,1,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_npvi,gemini,inworld,gemini,inworld,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_npvi,gemini,grok,gemini,grok,0,caller_scenario_adjusted_conversation_cds,296
hsc_msc,sylber_npvi,openai,inworld,openai,inworld,0,caller_scenario_adjusted_conversation_cds,296
