anchor,metric,label,unique_pairs,mirrored_points,exact_listener_ties,directional_pairs,caller_clusters,protocol_a_caller_clusters,protocol_b_caller_clusters,spearman_rho,caller_range_low,caller_range_high,same_winner_pairs,metric_ties_directional,same_winner_fraction,caller_resamples,system_adjusted_population
hsc_msc,allosaurus_rate,Phone rate,294,588,39,255,51,20,31,0.381788532796966,0.292772259314938,0.468768449978479,184,0,0.72156862745098,2000,296
hsc_behavior_sd,allosaurus_rate,Phone rate,294,588,39,255,51,20,31,0.44772335933084,0.359365439252344,0.533662599729337,192,0,0.752941176470588,2000,296
hsc_msc,sylber_rate,Sylber rate,294,588,39,255,51,20,31,0.251528491562516,0.141403003877609,0.370354585787588,170,0,0.666666666666667,2000,296
hsc_behavior_sd,sylber_rate,Sylber rate,294,588,39,255,51,20,31,0.320772885915224,0.228939574668308,0.410327777951093,171,0,0.670588235294118,2000,296
hsc_msc,sylber_duration,Sylber unit duration,294,588,39,255,51,20,31,0.503408463483078,0.407183700820337,0.594760863011846,187,0,0.733333333333333,2000,296
hsc_behavior_sd,sylber_duration,Sylber unit duration,294,588,39,255,51,20,31,0.614540091901328,0.536641404238298,0.682870957968677,192,0,0.752941176470588,2000,296
hsc_msc,sylber_npvi,nPVI,294,588,39,255,51,20,31,0.120623440630679,0.000156554983715272,0.252099493687313,143,0,0.56078431372549,2000,296
hsc_behavior_sd,sylber_npvi,nPVI,294,588,39,255,51,20,31,0.119421625658214,-0.00227900293699392,0.232384189296984,138,0,0.541176470588235,2000,296
hsc_msc,sylber_final_lengthening,Turn-final lengthening,294,588,39,255,51,20,31,-0.0803239456036857,-0.214106437095451,0.0621628770446163,121,0,0.474509803921569,2000,296
hsc_behavior_sd,sylber_final_lengthening,Turn-final lengthening,294,588,39,255,51,20,31,-0.0764891929630572,-0.18704743074254,0.0477256186756496,125,0,0.490196078431373,2000,296
hsc_msc,turn_duration,Turn duration,294,588,39,255,51,20,31,-0.0012954578749933,-0.122151686368755,0.105295811418692,122,0,0.47843137254902,2000,297
hsc_behavior_sd,turn_duration,Turn duration,294,588,39,255,51,20,31,-0.0888757922927687,-0.206697730929378,0.00965653589460685,105,0,0.411764705882353,2000,297
hsc_msc,signed_response_gap,Signed response gap,294,588,39,255,51,20,31,0.199896154755111,0.0804367368366582,0.320712970508662,153,0,0.6,2000,297
hsc_behavior_sd,signed_response_gap,Signed response gap,294,588,39,255,51,20,31,-0.255927419659062,-0.355802514232963,-0.162360842636899,96,0,0.376470588235294,2000,297
hsc_msc,floor_time_share,Floor-time share,294,588,39,255,51,20,31,-0.0543688433474539,-0.180350028865456,0.065293710042932,117,0,0.458823529411765,2000,297
hsc_behavior_sd,floor_time_share,Floor-time share,294,588,39,255,51,20,31,0.0597320763951998,-0.0579846584532219,0.184532963700597,138,0,0.541176470588235,2000,297
hsc_msc,pace,Pace family,294,588,39,255,51,20,31,0.387688303122478,0.277142899535413,0.495238060836905,182,0,0.713725490196078,2000,296
hsc_behavior_sd,pace,Pace family,294,588,39,255,51,20,31,0.556389127325615,0.480824425916718,0.629137951681781,193,0,0.756862745098039,2000,296
hsc_msc,rhythm,Rhythm family,294,588,39,255,51,20,31,-0.0287611500187226,-0.160304590705042,0.109093215748153,128,0,0.501960784313725,2000,296
hsc_behavior_sd,rhythm,Rhythm family,294,588,39,255,51,20,31,-0.035053025852314,-0.151897379675968,0.078712539554726,129,0,0.505882352941176,2000,296
hsc_msc,interaction,Interaction family,294,588,39,255,51,20,31,0.102637346407744,-0.0224186086806808,0.215785624016669,134,0,0.525490196078431,2000,296
hsc_behavior_sd,interaction,Interaction family,294,588,39,255,51,20,31,-0.1933537522099,-0.299792930615677,-0.0919484626798665,91,0,0.356862745098039,2000,296
hsc_msc,overall,Overall CDS,294,588,39,255,51,20,31,0.221849902621564,0.0901577873213941,0.346640945301196,154,0,0.603921568627451,2000,296
hsc_behavior_sd,overall,Overall CDS,294,588,39,255,51,20,31,0.265690115735833,0.16841172899748,0.364058326548862,158,0,0.619607843137255,2000,296
