anchor,feature,cohort,n_conversations,n_splits,mean_cds,sample_sd,split_q025,split_q975,mean_distance_to_hsc,mean_distance_to_second_anchor
hsc_msc,allosaurus_rate,hsc,34,50,64.4567506298725,14.1445603955093,26.8745409959005,82.1487831690092,0.225784552634805,0.401269112617613
hsc_msc,allosaurus_rate,lsc,34,50,29.6076357524752,7.23488161335153,20.5249425697362,47.3774405334339,0.355795676449764,0.139385001548484
hsc_msc,allosaurus_rate,hh,76,50,59.2257148399485,3.12823083283838,52.3745237550705,64.1141292031569,0.470754881214985,0.679071473705236
hsc_msc,allosaurus_rate,hai_human,296,50,55.6260583779677,2.2514468770792,51.1222117828842,58.9581744545059,0.55751379579972,0.69631809024756
hsc_msc,allosaurus_rate,hai_ai,296,50,46.6240226361868,0.958561165460004,44.9783184507106,48.4305400892598,3.05179380172661,2.6636960628066
hsc_behavior_sd,allosaurus_rate,hsc,34,50,84.5546321518395,6.54763949340329,68.6542136042773,92.7980529868623,0.225784552634805,1.20519632542164
hsc_behavior_sd,allosaurus_rate,lsc,34,50,74.3464233014019,5.89634009670719,65.1097546090816,86.6309955395911,0.355795676449764,1.007390315171
hsc_behavior_sd,allosaurus_rate,hh,76,50,72.853113999008,2.58533655003013,67.0661166400617,76.7890792879837,0.470754881214985,1.25749225097649
hsc_behavior_sd,allosaurus_rate,hai_human,296,50,66.7308604306397,2.03266118863147,62.6172651863825,69.7027435254799,0.55751379579972,1.11516213518579
hsc_behavior_sd,allosaurus_rate,hai_ai,296,50,39.1741550402526,0.918926419019527,37.6036052970327,40.910685819785,3.05179380172661,1.96374521332151
hsc_msc,sylber_rate,hsc,34,50,58.5819657362343,14.2210271993904,23.1254544752733,79.1196884527626,0.0679920987321758,0.0942829647802198
hsc_msc,sylber_rate,lsc,34,50,46.8165114349154,7.63199705091734,33.2751935709193,61.1026230496303,0.0958341771430733,0.0802592461706596
hsc_msc,sylber_rate,hh,76,50,63.8501918919426,6.32313635686598,53.5775125249961,76.9971039576092,0.111161110212583,0.191293818786679
hsc_msc,sylber_rate,hai_human,296,50,62.3645991115007,6.06961712333977,52.727930663495,72.87916023181,0.131449070204963,0.212717895534159
hsc_msc,sylber_rate,hai_ai,296,50,45.9585987571707,1.40713972307976,43.6471433654257,48.4490192605118,0.575734286296346,0.488791629401576
hsc_behavior_sd,sylber_rate,hsc,34,50,74.1587759106879,8.86064492271042,56.1561722753312,86.5499088673299,0.0679920987321758,0.184757134900205
hsc_behavior_sd,sylber_rate,lsc,34,50,73.4782920666155,5.96551813018121,61.6678038148385,83.5226389632359,0.0958341771430733,0.258992253243575
hsc_behavior_sd,sylber_rate,hh,76,50,62.8644140100703,6.4025658236728,52.5015497983982,76.223568556675,0.111161110212583,0.183205546261426
hsc_behavior_sd,sylber_rate,hai_human,296,50,57.7207801619292,6.36061231096891,47.8113865361892,68.8186097637241,0.131449070204963,0.17470857263747
hsc_behavior_sd,sylber_rate,hai_ai,296,50,52.1867496809324,1.41351692256086,49.8559049576768,54.6780782280578,0.575734286296346,0.627452285317684
hsc_msc,sylber_duration,hsc,34,50,56.8245386632995,7.27539644917899,42.9606884216253,68.7281787940156,0.00858009543185521,0.0111164277404337
hsc_msc,sylber_duration,lsc,34,50,45.0007075107564,3.41537570476573,39.7598034043891,52.2083957020068,0.0109200015577183,0.0088452684370845
hsc_msc,sylber_duration,hh,76,50,55.333013585754,3.55331822066687,49.8078949178546,62.1710811957058,0.012825997641962,0.0157494064273639
hsc_msc,sylber_duration,hai_human,296,50,56.2761845987104,3.00131601585865,51.161537025108,61.3440112930178,0.010585742650535,0.0135378970807004
hsc_msc,sylber_duration,hai_ai,296,50,46.3760535230939,1.03904157694768,44.6533616738547,48.4162699828305,0.0416946583300626,0.0360262660968577
hsc_behavior_sd,sylber_duration,hsc,34,50,70.7009822583375,5.41239088717648,61.8553716610697,79.8242962905537,0.00858009543185521,0.0203747262822637
hsc_behavior_sd,sylber_duration,lsc,34,50,66.1970144092705,3.05920690359451,61.3294079606797,72.4120074692827,0.0109200015577183,0.0212540243479997
hsc_behavior_sd,sylber_duration,hh,76,50,65.9693759829109,3.20260818559926,60.8795447462686,72.0462805319285,0.012825997641962,0.0246985694240941
hsc_behavior_sd,sylber_duration,hai_human,296,50,66.536103662861,2.71595024480705,61.8424836788638,71.0576441535298,0.010585742650535,0.0209448571497477
hsc_behavior_sd,sylber_duration,hai_ai,296,50,37.1510186097031,0.976674965081081,35.5402548023447,39.0774233051565,0.0416946583300626,0.0246200013870176
hsc_msc,sylber_npvi,hsc,34,50,51.3235031586262,7.60489783126584,35.93981116634,63.0699410016015,0.897014666732434,0.93627252368488
