cutoff_label,metric_key,n_pairs,rho,full_rho_same_pairs
first_30s,allosaurus_rate,232,0.0709182716012748,0.39657074140863213
first_1m,allosaurus_rate,283,0.20110286548474865,0.3871858492345064
first_2m,allosaurus_rate,294,0.2754793801257943,0.38178853279696556
first_3m,allosaurus_rate,294,0.30535720169719693,0.38178853279696556
first_5m,allosaurus_rate,294,0.3653487500638259,0.38178853279696556
full,allosaurus_rate,294,0.38178853279696556,0.38178853279696556
first_30s,sylber_rate,232,-0.09353970152205962,0.23140019668604336
first_1m,sylber_rate,283,0.07402455221826543,0.25587398564697855
first_2m,sylber_rate,294,0.27798470667892883,0.2515284915625164
first_3m,sylber_rate,294,0.2197094594569539,0.2515284915625164
first_5m,sylber_rate,294,0.19966613378857098,0.2515284915625164
full,sylber_rate,294,0.2515284915625164,0.2515284915625164
first_30s,sylber_duration,232,-0.031685877085460584,0.4925303834415539
first_1m,sylber_duration,283,0.11632308788000639,0.5098393800496138
first_2m,sylber_duration,294,0.2791295810607104,0.5034084634830779
first_3m,sylber_duration,294,0.3709514545519309,0.5034084634830779
first_5m,sylber_duration,294,0.4486835036960827,0.5034084634830779
full,sylber_duration,294,0.5034084634830779,0.5034084634830779
first_30s,sylber_npvi,232,-0.119664427248809,0.11860946366713909
first_1m,sylber_npvi,283,-0.052711461529662614,0.1214022958557653
first_2m,sylber_npvi,294,-0.025592626063868768,0.12062344063067887
first_3m,sylber_npvi,294,0.04419401151306253,0.12062344063067887
first_5m,sylber_npvi,294,0.11722186442522975,0.12062344063067887
full,sylber_npvi,294,0.12062344063067887,0.12062344063067887
first_30s,sylber_final_lengthening,232,0.09721225600392454,-0.1171362357794979
first_1m,sylber_final_lengthening,283,0.07915258531119336,-0.09471352411160418
first_2m,sylber_final_lengthening,294,0.03142404390578418,-0.08032394560368564
first_3m,sylber_final_lengthening,294,0.06742571307501363,-0.08032394560368564
first_5m,sylber_final_lengthening,294,-0.03301101026408388,-0.08032394560368564
full,sylber_final_lengthening,294,-0.08032394560368564,-0.08032394560368564
first_30s,turn_duration,263,0.0643941101502769,0.005162346587957238
first_1m,turn_duration,289,0.19283643899576827,0.012288899273136734
first_2m,turn_duration,295,0.09705841842312822,0.006123861887608548
first_3m,turn_duration,295,0.045950234717056906,0.006123861887608548
first_5m,turn_duration,295,0.019713896271721112,0.006123861887608548
full,turn_duration,295,0.006123861887608548,0.006123861887608548
first_30s,signed_response_gap,260,0.1016034624254063,0.17852187470926537
first_1m,signed_response_gap,289,0.1599261611805846,0.1892990952297353
first_2m,signed_response_gap,295,0.14832576358087457,0.19889091548010346
first_3m,signed_response_gap,295,0.13732132316014664,0.19889091548010346
first_5m,signed_response_gap,295,0.18601007628158758,0.19889091548010346
full,signed_response_gap,295,0.19889091548010346,0.19889091548010346
first_30s,floor_time_share,263,0.10124501243704696,-0.07667470103745595
first_1m,floor_time_share,289,-0.0010678655599289557,-0.07250169060018882
first_2m,floor_time_share,295,-0.09328049630567978,-0.062130511402699144
first_3m,floor_time_share,295,0.007762548183042679,-0.062130511402699144
first_5m,floor_time_share,295,-0.06221247513733253,-0.062130511402699144
full,floor_time_share,295,-0.062130511402699144,-0.062130511402699144
first_30s,pace,232,-0.024636879127085506,0.39056402137273377
first_1m,pace,283,0.15209488625342937,0.3938736451404283
first_2m,pace,294,0.32492271378676446,0.38768830312247815
first_3m,pace,294,0.3393182817648105,0.38768830312247815
first_5m,pace,294,0.350194647828678,0.38768830312247815
full,pace,294,0.38768830312247815,0.38768830312247815
first_30s,rhythm,232,0.006548095643944995,-0.05816157271655618
first_1m,rhythm,283,0.02198263627344746,-0.03689807635732052
first_2m,rhythm,294,0.008516868048564023,-0.028761150018722648
first_3m,rhythm,294,0.053092791634108,-0.028761150018722648
first_5m,rhythm,294,0.0082896406183101,-0.028761150018722648
full,rhythm,294,-0.028761150018722648,-0.028761150018722648
first_30s,interaction,260,0.1344105883685474,0.0932616644062759
first_1m,interaction,289,0.2082994701168977,0.10080957420072847
first_2m,interaction,295,0.12670045889596934,0.10722992372004411
first_3m,interaction,295,0.10423704119159682,0.10722992372004411
first_5m,interaction,295,0.08699706108833273,0.10722992372004411
full,interaction,295,0.10722992372004411,0.10722992372004411
first_30s,overall,229,0.017767766910876018,0.22107794978075018
first_1m,overall,283,0.13190980536181662,0.23938532658494732
first_2m,overall,294,0.22333225996148884,0.22184990262156395
first_3m,overall,294,0.2595454057712737,0.22184990262156395
first_5m,overall,294,0.24343104029699889,0.22184990262156395
full,overall,294,0.22184990262156395,0.22184990262156395
