cutoff_label,metric_key,n_callers,subsamples,defined_correlations,undefined_correlations,rho_q025,rho_median,rho_q975,full_rho_same_pairs_q025,full_rho_same_pairs_median,full_rho_same_pairs_q975,rho_change_short_minus_full_q025,rho_change_short_minus_full_median,rho_change_short_minus_full_q975,pairs_median,rated_callers_median
first_30s,allosaurus_rate,2,2000,1632,368,-0.8944271909999159,0.058030541454035064,0.8884113491366065,-0.4472135954999579,0.4472135954999579,0.8944271909999159,-1.7888543819998317,-0.28988551782622424,1.3034067671538705,8.0,2.0
first_30s,allosaurus_rate,3,2000,1877,123,-0.6289671754978109,0.09073934721967129,0.8890129333229368,-0.40006613209931935,0.44435087525416,0.8944271909999159,-1.1161045800734208,-0.30960686915876967,0.841458192828601,13.0,2.0
first_30s,allosaurus_rate,5,2000,1981,19,-0.4472135954999579,0.08996963130645147,0.6677276531441165,-0.03618522623040077,0.4074702349519184,0.7215622764299781,-0.915773563474759,-0.30742523634937824,0.3017535496481466,20.0,4.0
first_30s,allosaurus_rate,8,2000,2000,0,-0.3228754302118307,0.08032863647638715,0.43571920167998873,0.11777790766251245,0.39769077026125543,0.6356386472978298,-0.7418670829928129,-0.31760940119651593,0.046250446125123156,33.0,6.0
first_30s,allosaurus_rate,10,2000,2000,0,-0.2684444835724465,0.06498771591601377,0.3661924297814716,0.15937243403237375,0.39450904592333774,0.592997215203432,-0.6730170002617973,-0.3215609849355518,-0.011480647941309026,42.0,7.0
first_30s,allosaurus_rate,15,2000,2000,0,-0.19845966137173743,0.06833286850042139,0.314120251808986,0.2327416272574118,0.3937908786365049,0.5465495667312903,-0.5837189163728161,-0.3231248887875514,-0.08413553187913042,62.0,11.0
first_30s,allosaurus_rate,20,2000,2000,0,-0.14207176794275791,0.0710336265029327,0.2607583909954072,0.2617171666912442,0.39732413830941826,0.5182659843267006,-0.5279001957205175,-0.3244558558453859,-0.13258534790632195,82.0,15.0
first_30s,allosaurus_rate,30,2000,2000,0,-0.0767188247389091,0.0710878782606061,0.20743469333558318,0.30118633347890333,0.3956054727742624,0.4803989969642206,-0.454651868076445,-0.3236489546986247,-0.20025220306347202,124.0,22.0
first_30s,allosaurus_rate,40,2000,2000,0,-0.028984223710930394,0.07033440888228368,0.16083697357773372,0.33621346835492766,0.39807507156571587,0.4548248491348953,-0.41691125411483765,-0.32680547685562833,-0.2412970401224438,166.0,29.0
first_30s,allosaurus_rate,56,1,1,0,0.0709182716012748,0.0709182716012748,0.0709182716012748,0.39657074140863213,0.39657074140863213,0.39657074140863213,-0.32565246980735735,-0.32565246980735735,-0.32565246980735735,232.0,41.0
first_1m,allosaurus_rate,2,2000,1844,156,-0.5590653920196746,0.24442259820672468,0.8944271909999159,-0.4472135954999579,0.4114868116940951,0.8944271909999159,-1.2550326041451967,-0.1610443845651417,1.3416407864998738,12.0,2.0
first_1m,allosaurus_rate,3,2000,1971,29,-0.4498760760613847,0.2333364332640279,0.8728715609439693,-0.3825184261187248,0.41174481089992093,0.8550602343739736,-0.7801647798095006,-0.15622165556396134,0.7637626158259733,15.0,3.0
first_1m,allosaurus_rate,5,2000,2000,0,-0.27661058752854767,0.22290919738187032,0.6233521261142485,-0.06915081426204146,0.38902474771476697,0.6663809088208544,-0.5313515008478377,-0.16103314287500115,0.31821044464123305,26.0,4.0
first_1m,allosaurus_rate,8,2000,2000,0,-0.15182626210551275,0.20721928741399293,0.5025407684107522,0.09995955489152815,0.3842393230309171,0.6078755218957119,-0.43859087069018493,-0.1769236870684275,0.09692233096798353,41.0,7.0
first_1m,allosaurus_rate,10,2000,2000,0,-0.10784325758199317,0.20641179469506812,0.47006983660270224,0.12862643947744065,0.38556492698161937,0.5792436402004743,-0.41202449989607576,-0.17602267739071506,0.06548576941045332,51.0,9.0
first_1m,allosaurus_rate,15,2000,2000,0,-0.02294949583353634,0.19964575977555007,0.4114319997705559,0.20908480832776696,0.38120881390397,0.5270511949133407,-0.343726047513663,-0.181280776444084,-0.011946479179367232,76.0,13.0
first_1m,allosaurus_rate,20,2000,2000,0,0.010063127162520526,0.19869465977254147,0.3794332881509395,0.24499567646190776,0.3885890994440444,0.5068327716499849,-0.3187394983444644,-0.18536503771528412,-0.048246139923806663,101.0,17.0
first_1m,allosaurus_rate,30,2000,2000,0,0.0772957465608649,0.19896543268677458,0.32680075672205244,0.29040562101533435,0.3860028845470693,0.4654310423335679,-0.2794451927507978,-0.185377074164766,-0.09375502469777769,152.0,26.0
first_1m,allosaurus_rate,40,2000,2000,0,0.11939829184453722,0.2012565256473542,0.28118615873818803,0.325966514623995,0.38842280849651256,0.44429908911821925,-0.24618117060072003,-0.1864462107864829,-0.12196206974701604,203.0,34.0
first_1m,allosaurus_rate,56,1,1,0,0.20110286548474865,0.20110286548474865,0.20110286548474865,0.3871858492345064,0.3871858492345064,0.3871858492345064,-0.18608298374975774,-0.18608298374975774,-0.18608298374975774,283.0,48.0
first_2m,allosaurus_rate,2,2000,1901,99,-0.5999999999999999,0.3112350164101783,0.9121593238215745,-0.6831300510639732,0.40799988046845304,0.8944271909999159,-0.8885810102523326,-0.04860158349867205,1.3416407864998738,13.0,2.0
first_2m,allosaurus_rate,3,2000,1992,8,-0.43745340403071026,0.28413015672702086,0.8728715609439693,-0.40006613209931935,0.407901881963072,0.8592061924797305,-0.764874903091936,-0.07476674390948229,0.7807200583588265,15.0,3.0
first_2m,allosaurus_rate,5,2000,2000,0,-0.22172752499348772,0.2742497638241306,0.660915442125539,-0.0899232283918639,0.3827051769246966,0.6728613603914136,-0.43829180034708076,-0.09627868423221857,0.40365501588618863,27.0,5.0
first_2m,allosaurus_rate,8,2000,2000,0,-0.03428175147896099,0.2752259035631132,0.5479436665363293,0.07618513244295626,0.3820583312366861,0.5991474567091216,-0.3326739742298927,-0.09927910237117947,0.16609501895985862,43.0,7.0
first_2m,allosaurus_rate,10,2000,2000,0,0.008352599126234202,0.27577557935278807,0.5139295725571171,0.1079059511372274,0.38179583883563345,0.5828198278636842,-0.2933186875322153,-0.10204979853077267,0.11399206712738354,54.0,9.0
first_2m,allosaurus_rate,15,2000,2000,0,0.07735670609620733,0.273119218406742,0.45412095399144353,0.17994347565635008,0.37938359995056803,0.5265127325836818,-0.24486869320865925,-0.10549132756705748,0.05651643070818812,78.0,14.0
first_2m,allosaurus_rate,20,2000,2000,0,0.1083569312434407,0.27604442720430933,0.43109714351641176,0.22691860336066683,0.38392494582141845,0.5047662396539112,-0.2178906243443048,-0.10677682073027359,0.0172075158704316,104.0,18.0
first_2m,allosaurus_rate,30,2000,2000,0,0.166480905877655,0.2752829006422748,0.38571211158156243,0.285087588103073,0.380160446854252,0.4663384583458496,-0.1806976530235439,-0.1040777638398455,-0.02550929297991274,158.0,27.0
first_2m,allosaurus_rate,40,2000,2000,0,0.20148979650662485,0.27619073506487785,0.34560988174414364,0.31592297033023026,0.3824463512309929,0.4419565004470303,-0.15707581528688563,-0.1065001694175999,-0.05287646939780096,209.0,36.0
first_2m,allosaurus_rate,56,1,1,0,0.2754793801257943,0.2754793801257943,0.2754793801257943,0.38178853279696556,0.38178853279696556,0.38178853279696556,-0.10630915267117125,-0.10630915267117125,-0.10630915267117125,294.0,51.0
first_3m,allosaurus_rate,2,2000,1901,99,-0.8783100656536799,0.34943815806083584,0.8944271909999159,-0.6831300510639732,0.40799988046845304,0.8944271909999159,-0.8881721473440564,-0.04089551008870673,0.7637626158259733,13.0,2.0
first_3m,allosaurus_rate,3,2000,1992,8,-0.5455447255899809,0.33018580469038755,0.8189230248533257,-0.40006613209931935,0.407901881963072,0.8592061924797305,-0.629940788348712,-0.057497674633565206,0.43262084389732075,15.0,3.0
first_3m,allosaurus_rate,5,2000,2000,0,-0.15959888829419805,0.30715144305863706,0.6393393012268437,-0.0899232283918639,0.3827051769246966,0.6728613603914136,-0.3362191586006939,-0.0651230352126808,0.22759402562180073,27.0,5.0
first_3m,allosaurus_rate,8,2000,2000,0,0.010849097252356816,0.31088361373384593,0.5576819578708775,0.07618513244295626,0.3820583312366861,0.5991474567091216,-0.218209527337689,-0.06805842530599478,0.10911624463589265,43.0,7.0
first_3m,allosaurus_rate,10,2000,2000,0,0.04579476429652538,0.3052994162413949,0.5308434911438008,0.1079059511372274,0.38179583883563345,0.5828198278636842,-0.1961245991402186,-0.07148931549345644,0.07347993084719047,54.0,9.0
first_3m,allosaurus_rate,15,2000,2000,0,0.11358934053803087,0.30515991453525554,0.4768322004746977,0.17994347565635008,0.37938359995056803,0.5265127325836818,-0.16980433294509492,-0.07385206058466136,0.033578396524478464,78.0,14.0
first_3m,allosaurus_rate,20,2000,2000,0,0.14759798931324666,0.3094709395112868,0.4455660697666655,0.22691860336066683,0.38392494582141845,0.5047662396539112,-0.14873254790679546,-0.07457433218803702,0.006630581602475347,104.0,18.0
first_3m,allosaurus_rate,30,2000,2000,0,0.2003004416399851,0.30518856180191895,0.4066380749629808,0.285087588103073,0.380160446854252,0.4663384583458496,-0.12310021739510582,-0.07429189084066909,-0.018779937060154146,158.0,27.0
first_3m,allosaurus_rate,40,2000,2000,0,0.23931030463668745,0.3064705243466602,0.37075648611501255,0.31592297033023026,0.3824463512309929,0.4419565004470303,-0.11099102018291881,-0.07585379729156472,-0.0395137720768878,209.0,36.0
first_3m,allosaurus_rate,56,1,1,0,0.30535720169719693,0.30535720169719693,0.30535720169719693,0.38178853279696556,0.38178853279696556,0.38178853279696556,-0.07643133109976863,-0.07643133109976863,-0.07643133109976863,294.0,51.0
first_5m,allosaurus_rate,2,2000,1901,99,-0.6505222158586489,0.4256494297686149,0.8944271909999159,-0.6831300510639732,0.40799988046845304,0.8944271909999159,-0.4472135954999579,0.0,0.7410870089190429,13.0,2.0
first_5m,allosaurus_rate,3,2000,1992,8,-0.40017278612866747,0.39635778564112056,0.870889784730105,-0.40006613209931935,0.407901881963072,0.8592061924797305,-0.3539775036090105,-0.003475963035089069,0.4234367282696283,15.0,3.0
first_5m,allosaurus_rate,5,2000,2000,0,-0.09410605941479046,0.3729111631602632,0.6770724244668166,-0.0899232283918639,0.3827051769246966,0.6728613603914136,-0.15542292141771827,-0.007839082314125667,0.1794406094465203,27.0,5.0
first_5m,allosaurus_rate,8,2000,2000,0,0.07051114964817513,0.3688505023118001,0.6050436540935921,0.07618513244295626,0.3820583312366861,0.5991474567091216,-0.09920027823317754,-0.012090502362322758,0.08221752389129897,43.0,7.0
first_5m,allosaurus_rate,10,2000,2000,0,0.09944777850578154,0.36669817805678273,0.5772084691327902,0.1079059511372274,0.38179583883563345,0.5828198278636842,-0.08184098480893665,-0.01302887909071597,0.0636933551393626,54.0,9.0
first_5m,allosaurus_rate,15,2000,2000,0,0.17136044748931678,0.36650622170022307,0.5171818424628156,0.17994347565635008,0.37938359995056803,0.5265127325836818,-0.06378846135301315,-0.016673339126272474,0.042110178436179785,78.0,14.0
first_5m,allosaurus_rate,20,2000,2000,0,0.21186705307511652,0.36920362524221073,0.49877544680926766,0.22691860336066683,0.38392494582141845,0.5047662396539112,-0.053003535274660216,-0.01493031226623534,0.02673023586963728,104.0,18.0
first_5m,allosaurus_rate,30,2000,2000,0,0.26652044023401755,0.3645689552753021,0.45509021894946355,0.285087588103073,0.380160446854252,0.4663384583458496,-0.040652843020447936,-0.016251349771284423,0.011938091238751947,158.0,27.0
first_5m,allosaurus_rate,40,2000,2000,0,0.3000485912725815,0.3663298139596297,0.4267627369083893,0.31592297033023026,0.3824463512309929,0.4419565004470303,-0.03353116311011737,-0.016562789469739908,0.0019771550564912123,209.0,36.0
first_5m,allosaurus_rate,56,1,1,0,0.3653487500638259,0.3653487500638259,0.3653487500638259,0.38178853279696556,0.38178853279696556,0.38178853279696556,-0.016439782733139674,-0.016439782733139674,-0.016439782733139674,294.0,51.0
full,allosaurus_rate,2,2000,1901,99,-0.6831300510639732,0.40799988046845304,0.8944271909999159,-0.6831300510639732,0.40799988046845304,0.8944271909999159,0.0,0.0,0.0,13.0,2.0
full,allosaurus_rate,3,2000,1992,8,-0.40006613209931935,0.407901881963072,0.8592061924797305,-0.40006613209931935,0.407901881963072,0.8592061924797305,0.0,0.0,0.0,15.0,3.0
full,allosaurus_rate,5,2000,2000,0,-0.0899232283918639,0.3827051769246966,0.6728613603914136,-0.0899232283918639,0.3827051769246966,0.6728613603914136,0.0,0.0,0.0,27.0,5.0
full,allosaurus_rate,8,2000,2000,0,0.07618513244295626,0.3820583312366861,0.5991474567091216,0.07618513244295626,0.3820583312366861,0.5991474567091216,0.0,0.0,0.0,43.0,7.0
full,allosaurus_rate,10,2000,2000,0,0.1079059511372274,0.38179583883563345,0.5828198278636842,0.1079059511372274,0.38179583883563345,0.5828198278636842,0.0,0.0,0.0,54.0,9.0
full,allosaurus_rate,15,2000,2000,0,0.17994347565635008,0.37938359995056803,0.5265127325836818,0.17994347565635008,0.37938359995056803,0.5265127325836818,0.0,0.0,0.0,78.0,14.0
full,allosaurus_rate,20,2000,2000,0,0.22691860336066683,0.38392494582141845,0.5047662396539112,0.22691860336066683,0.38392494582141845,0.5047662396539112,0.0,0.0,0.0,104.0,18.0
full,allosaurus_rate,30,2000,2000,0,0.285087588103073,0.380160446854252,0.4663384583458496,0.285087588103073,0.380160446854252,0.4663384583458496,0.0,0.0,0.0,158.0,27.0
full,allosaurus_rate,40,2000,2000,0,0.31592297033023026,0.3824463512309929,0.4419565004470303,0.31592297033023026,0.3824463512309929,0.4419565004470303,0.0,0.0,0.0,209.0,36.0
full,allosaurus_rate,56,1,1,0,0.38178853279696556,0.38178853279696556,0.38178853279696556,0.38178853279696556,0.38178853279696556,0.38178853279696556,0.0,0.0,0.0,294.0,51.0
first_30s,sylber_rate,2,2000,1632,368,-0.8944271909999159,-0.1494114427354234,0.8944271909999159,-0.4898466916980768,0.28988551782622424,0.8944271909999159,-1.3416407864998738,-0.316390081981654,0.5513386314988115,8.0,2.0
first_30s,sylber_rate,3,2000,1877,123,-0.6831300510639732,-0.11553652930985409,0.8944271909999159,-0.4472135954999579,0.28988551782622424,0.8944271909999159,-1.196196421578924,-0.3438984156767635,0.4710177098414061,13.0,2.0
first_30s,sylber_rate,5,2000,1981,19,-0.530308089569949,-0.10751682985805452,0.6614950926316518,-0.2789605363939207,0.26016428672780306,0.7682823844595458,-0.8392184435411787,-0.331582969507791,0.21821789023599236,20.0,4.0
first_30s,sylber_rate,8,2000,2000,0,-0.3941641740754405,-0.09546980264008378,0.32552417493810576,-0.120080772414566,0.2466150674466514,0.6008026871086515,-0.6773464972399292,-0.32810618302771444,0.018943912053762783,33.0,6.0
first_30s,sylber_rate,10,2000,2000,0,-0.359655830164353,-0.09222349699812996,0.24208126872378163,-0.07011315223277688,0.24868935868950193,0.5192144243683253,-0.62804388918342,-0.32566230594838685,-0.01283745533655929,42.0,7.0
first_30s,sylber_rate,15,2000,2000,0,-0.303925356703716,-0.09337328921321006,0.14170008382097432,0.011991134818514028,0.23772279192342727,0.459976088569533,-0.5545259733170004,-0.3235407089800445,-0.09979118735947153,62.0,11.0
first_30s,sylber_rate,20,2000,2000,0,-0.2574035950367877,-0.09304037065974713,0.1060672906307117,0.052499324071878455,0.23386451702637862,0.41465025041500675,-0.49546966705633005,-0.3256708541906166,-0.13400232418639277,82.0,15.0
first_30s,sylber_rate,30,2000,2000,0,-0.21054941825959178,-0.0972022738279135,0.03343619456839181,0.10895967523592924,0.23014056325412463,0.35909089565928254,-0.4467190060765736,-0.32530690106013105,-0.2022707960055295,124.0,22.0
first_30s,sylber_rate,40,2000,2000,0,-0.17528455624048453,-0.09300001281948862,-0.008458946855659448,0.15419573359896907,0.23085244547357922,0.3232222853573308,-0.4127017790806429,-0.3261162930982169,-0.2456290958698228,166.0,29.0
first_30s,sylber_rate,56,1,1,0,-0.09353970152205962,-0.09353970152205962,-0.09353970152205962,0.23140019668604336,0.23140019668604336,0.23140019668604336,-0.324939898208103,-0.324939898208103,-0.324939898208103,232.0,41.0
first_1m,sylber_rate,2,2000,1844,156,-0.8776610522405544,0.06830633907136457,0.8944271909999159,-0.522971673687364,0.3044366852533488,0.8944271909999159,-1.2015028183722214,-0.15234757635553897,0.7171371656006362,12.0,2.0
first_1m,sylber_rate,3,2000,1971,29,-0.6488073271643998,0.06660054415400443,0.858103286480052,-0.39103416078800524,0.3013289295032608,0.8783100656536799,-1.0110127858969697,-0.1845854366659529,0.5455447255899808,15.0,3.0
first_1m,sylber_rate,5,2000,2000,0,-0.40089775779972053,0.07765126875242084,0.5832937652276393,-0.12951805207062855,0.2747579917295367,0.6730287898755756,-0.7269961088767454,-0.18097193233097847,0.2559739330977066,26.0,4.0
first_1m,sylber_rate,8,2000,2000,0,-0.2502220208722451,0.07090466438892787,0.4540854438495304,-0.033594189197861606,0.2619559136446015,0.5646288583335907,-0.5704823908522075,-0.178185554652457,0.13441977432769917,41.0,7.0
first_1m,sylber_rate,10,2000,2000,0,-0.2206392924831135,0.07108076094574464,0.36602632906538507,-0.004954008375874696,0.26431320632841626,0.5090604717371103,-0.49029114355110226,-0.18451569385996658,0.10370868434768112,51.0,9.0
first_1m,sylber_rate,15,2000,2000,0,-0.12726271579833953,0.07469855555633934,0.2895821186386242,0.06558951179920741,0.2577384219106591,0.45410578487290265,-0.40309938781966187,-0.18298818348930085,0.025986268030781454,76.0,13.0
first_1m,sylber_rate,20,2000,2000,0,-0.0915850233286216,0.07651202750168182,0.24560796021634582,0.10193487352957267,0.2590323816011503,0.41011409474364235,-0.35363672906356935,-0.18101298100839996,-0.012657685453990406,101.0,17.0
first_1m,sylber_rate,30,2000,2000,0,-0.04004851323574012,0.07297753721736829,0.19451637132654984,0.1472149702444752,0.25420104789330195,0.3622192230060265,-0.29628596722838857,-0.17929331923134578,-0.06527244186816493,152.0,26.0
first_1m,sylber_rate,40,2000,2000,0,-0.00518608919090229,0.07382065722973827,0.15641054887979494,0.18463242376713632,0.2553936054337167,0.33493776422215615,-0.26197759767044515,-0.18241545698475697,-0.10395354711789757,203.0,34.0
first_1m,sylber_rate,56,1,1,0,0.07402455221826543,0.07402455221826543,0.07402455221826543,0.25587398564697855,0.25587398564697855,0.25587398564697855,-0.18184943342871313,-0.18184943342871313,-0.18184943342871313,283.0,48.0
first_2m,sylber_rate,2,2000,1901,99,-0.8116794499134278,0.3191380089224015,0.8944271909999159,-0.6831300510639732,0.29780450572490064,0.8944271909999159,-1.2325547301826547,0.0,0.8238858408710995,13.0,2.0
first_2m,sylber_rate,3,2000,1992,8,-0.5609681940050742,0.29277002188455997,0.8007572173962101,-0.4363372119925885,0.29275196925367464,0.8728715609439693,-0.9517954020510461,-0.011633358513672504,0.6304647078014458,15.0,3.0
first_2m,sylber_rate,5,2000,2000,0,-0.2937365929713069,0.2821505968445352,0.6395141256837478,-0.1500225113876954,0.2654319175573961,0.6669111799448112,-0.5581189459896074,0.00031027634191867215,0.46817788520259135,27.0,5.0
first_2m,sylber_rate,8,2000,2000,0,-0.05227204384910031,0.2825296435483692,0.5644526253707468,-0.04212691389569069,0.2530037779857853,0.5540928563085271,-0.3470866321757195,0.021025830597322243,0.37590362998931925,43.0,7.0
first_2m,sylber_rate,10,2000,2000,0,-0.03318283699437012,0.27799023836883663,0.522049675746943,-0.027604433378226597,0.25696261824195604,0.5029344976151052,-0.3315039817355864,0.017757748200427345,0.32458919629914496,54.0,9.0
