cutoff_label,metric_key,valid_pairs,all_pairs,callers_with_pairs,valid_conversations,all_ai_conversations
first_30s,allosaurus_rate,232,295,41,241,297
first_1m,allosaurus_rate,283,295,48,287,297
first_2m,allosaurus_rate,294,295,51,296,297
first_3m,allosaurus_rate,294,295,51,296,297
first_5m,allosaurus_rate,294,295,51,296,297
full,allosaurus_rate,294,295,51,296,297
first_30s,sylber_rate,232,295,41,241,297
first_1m,sylber_rate,283,295,48,287,297
first_2m,sylber_rate,294,295,51,296,297
first_3m,sylber_rate,294,295,51,296,297
first_5m,sylber_rate,294,295,51,296,297
full,sylber_rate,294,295,51,296,297
first_30s,sylber_duration,232,295,41,241,297
first_1m,sylber_duration,283,295,48,287,297
first_2m,sylber_duration,294,295,51,296,297
first_3m,sylber_duration,294,295,51,296,297
first_5m,sylber_duration,294,295,51,296,297
full,sylber_duration,294,295,51,296,297
first_30s,sylber_npvi,232,295,41,241,297
first_1m,sylber_npvi,283,295,48,287,297
first_2m,sylber_npvi,294,295,51,296,297
first_3m,sylber_npvi,294,295,51,296,297
first_5m,sylber_npvi,294,295,51,296,297
full,sylber_npvi,294,295,51,296,297
first_30s,sylber_final_lengthening,232,295,41,241,297
first_1m,sylber_final_lengthening,283,295,48,287,297
first_2m,sylber_final_lengthening,294,295,51,296,297
first_3m,sylber_final_lengthening,294,295,51,296,297
first_5m,sylber_final_lengthening,294,295,51,296,297
full,sylber_final_lengthening,294,295,51,296,297
first_30s,turn_duration,263,295,49,276,297
first_1m,turn_duration,289,295,50,294,297
first_2m,turn_duration,295,295,51,297,297
first_3m,turn_duration,295,295,51,297,297
first_5m,turn_duration,295,295,51,297,297
full,turn_duration,295,295,51,297,297
first_30s,signed_response_gap,260,295,49,275,297
first_1m,signed_response_gap,289,295,50,294,297
first_2m,signed_response_gap,295,295,51,297,297
first_3m,signed_response_gap,295,295,51,297,297
first_5m,signed_response_gap,295,295,51,297,297
full,signed_response_gap,295,295,51,297,297
first_30s,floor_time_share,263,295,49,276,297
first_1m,floor_time_share,289,295,50,294,297
first_2m,floor_time_share,295,295,51,297,297
first_3m,floor_time_share,295,295,51,297,297
first_5m,floor_time_share,295,295,51,297,297
full,floor_time_share,295,295,51,297,297
first_30s,pace,232,295,41,241,297
first_1m,pace,283,295,48,287,297
first_2m,pace,294,295,51,296,297
first_3m,pace,294,295,51,296,297
first_5m,pace,294,295,51,296,297
full,pace,294,295,51,296,297
first_30s,rhythm,232,295,41,241,297
first_1m,rhythm,283,295,48,287,297
first_2m,rhythm,294,295,51,296,297
first_3m,rhythm,294,295,51,296,297
first_5m,rhythm,294,295,51,296,297
full,rhythm,294,295,51,296,297
first_30s,interaction,260,295,49,275,297
first_1m,interaction,289,295,50,294,297
first_2m,interaction,295,295,51,297,297
first_3m,interaction,295,295,51,297,297
first_5m,interaction,295,295,51,297,297
full,interaction,295,295,51,297,297
first_30s,overall,229,295,41,240,297
first_1m,overall,283,295,48,287,297
first_2m,overall,294,295,51,296,297
first_3m,overall,294,295,51,296,297
first_5m,overall,294,295,51,296,297
full,overall,294,295,51,296,297
