duration,callers,median_rho,middle_95_range_width,defined_subsets,undefined_subsets,subset_total,variation_available
first_30s,2,0.004288050925606845,1.7888543819998317,1632,368,2000,True
first_30s,3,0.01935733477905959,1.6724966873559444,1877,123,2000,True
first_30s,5,0.010192544131493526,1.139882359944824,1981,19,2000,True
first_30s,8,0.024176234255431066,0.8260711904080724,2000,0,2000,True
first_30s,10,0.010422864943449392,0.7221423316615783,2000,0,2000,True
first_30s,15,0.016643913935918627,0.548779493272946,2000,0,2000,True
first_30s,20,0.01683174238775944,0.44083614420860795,2000,0,2000,True
first_30s,30,0.01662824271521255,0.29856539316048936,2000,0,2000,True
first_30s,40,0.018232697464541113,0.20681038588008077,2000,0,2000,True
first_30s,56,0.017767766910876018,,1,0,1,False
first_1m,2,0.15672694636980777,1.5173559760063102,1844,156,2000,True
first_1m,3,0.15154840510962636,1.386143206216694,1971,29,2000,True
first_1m,5,0.15170943391257632,0.9297063449732652,2000,0,2000,True
first_1m,8,0.13515425625540092,0.6759531702267022,2000,0,2000,True
first_1m,10,0.13411661762837163,0.55455326359439,2000,0,2000,True
first_1m,15,0.1344347624017798,0.4333749204547602,2000,0,2000,True
first_1m,20,0.1330831835514112,0.3506525549530047,2000,0,2000,True
first_1m,30,0.1296544582375393,0.2367238073752119,2000,0,2000,True
first_1m,40,0.13084713180813398,0.1703197263200431,2000,0,2000,True
first_1m,56,0.13190980536181662,,1,0,1,False
first_2m,2,0.24317873670305146,1.7727372566535957,1901,99,2000,True
first_2m,3,0.23018640015948655,1.3933463204990426,1992,8,2000,True
first_2m,5,0.22227037052311152,0.8905153324403617,2000,0,2000,True
first_2m,8,0.230412118972884,0.6247107602236974,2000,0,2000,True
first_2m,10,0.23086534946740436,0.5499727409323006,2000,0,2000,True
first_2m,15,0.22884843692579215,0.39097111115737276,2000,0,2000,True
first_2m,20,0.22424544426737178,0.3168724491944204,2000,0,2000,True
first_2m,30,0.22195401590688893,0.21355194863889976,2000,0,2000,True
first_2m,40,0.22263641129466838,0.14730775191660692,2000,0,2000,True
first_2m,56,0.22333225996148884,,1,0,1,False
first_3m,2,0.24940538946563953,1.768109557474689,1901,99,2000,True
first_3m,3,0.2561599750628366,1.4915990349368342,1992,8,2000,True
first_3m,5,0.23572006669082313,1.11982391954687,2000,0,2000,True
first_3m,8,0.25927978898644377,0.7599812876799621,2000,0,2000,True
first_3m,10,0.2605847114311628,0.6809612413098421,2000,0,2000,True
first_3m,15,0.25849649599977653,0.47706211557603884,2000,0,2000,True
first_3m,20,0.26105166570142846,0.38305520278328187,2000,0,2000,True
first_3m,30,0.25906568967357646,0.26720112506688365,2000,0,2000,True
first_3m,40,0.25988496418133916,0.18204758712769706,2000,0,2000,True
first_3m,56,0.2595454057712737,,1,0,1,False
first_5m,2,0.21896976414719674,1.7888543819998317,1901,99,2000,True
first_5m,3,0.2345383554241925,1.3890307621851563,1992,8,2000,True
first_5m,5,0.23197062108950992,1.0541854238562602,2000,0,2000,True
first_5m,8,0.24091618647476673,0.7940801402913622,2000,0,2000,True
first_5m,10,0.24045803008312386,0.7064036046537618,2000,0,2000,True
first_5m,15,0.24684482725630286,0.5122768409196271,2000,0,2000,True
first_5m,20,0.24918758840573585,0.4067224778602669,2000,0,2000,True
first_5m,30,0.24162220662345207,0.2935222484648355,2000,0,2000,True
first_5m,40,0.24276455820526177,0.191237128245239,2000,0,2000,True
first_5m,56,0.24343104029699889,,1,0,1,False
full,2,0.19944338991670055,1.7888543819998317,1901,99,2000,True
full,3,0.21014350032202472,1.4438741286662216,1992,8,2000,True
full,5,0.2076889035100339,1.120474704944503,2000,0,2000,True
full,8,0.22628478863335183,0.8050100512022962,2000,0,2000,True
full,10,0.2217309816533572,0.7078997051287035,2000,0,2000,True
full,15,0.22278091976665892,0.505964634109572,2000,0,2000,True
full,20,0.22419681636275934,0.40055660010285077,2000,0,2000,True
full,30,0.21755849737178934,0.28849228327065296,2000,0,2000,True
full,40,0.22246946160454245,0.18438339753595104,2000,0,2000,True
full,56,0.22184990262156395,,1,0,1,False
