estimator,cutoff_label,n_callers,subsamples,stable_fraction_all_subsamples,defined_provider_orders
conversation_first,first_30s,2,2000,0.235,1518
conversation_first,first_30s,3,2000,0.2855,1819
conversation_first,first_30s,5,2000,0.2905,1969
conversation_first,first_30s,8,2000,0.261,2000
conversation_first,first_30s,10,2000,0.2305,2000
conversation_first,first_30s,15,2000,0.174,2000
conversation_first,first_30s,20,2000,0.118,2000
conversation_first,first_30s,30,2000,0.039,2000
conversation_first,first_30s,40,2000,0.005,2000
conversation_first,first_30s,56,1,0.0,1
conversation_first,first_1m,2,2000,0.2115,1729
conversation_first,first_1m,3,2000,0.2545,1955
conversation_first,first_1m,5,2000,0.264,1992
conversation_first,first_1m,8,2000,0.271,2000
conversation_first,first_1m,10,2000,0.284,2000
conversation_first,first_1m,15,2000,0.296,2000
conversation_first,first_1m,20,2000,0.2805,2000
conversation_first,first_1m,30,2000,0.2175,2000
conversation_first,first_1m,40,2000,0.14,2000
conversation_first,first_1m,56,1,0.0,1
conversation_first,first_2m,2,2000,0.1875,1768
conversation_first,first_2m,3,2000,0.243,1973
conversation_first,first_2m,5,2000,0.285,1999
conversation_first,first_2m,8,2000,0.329,2000
conversation_first,first_2m,10,2000,0.344,2000
conversation_first,first_2m,15,2000,0.4365,2000
conversation_first,first_2m,20,2000,0.5115,2000
conversation_first,first_2m,30,2000,0.6675,2000
conversation_first,first_2m,40,2000,0.8255,2000
conversation_first,first_2m,56,1,1.0,1
conversation_first,first_3m,2,2000,0.203,1768
conversation_first,first_3m,3,2000,0.2725,1973
conversation_first,first_3m,5,2000,0.2965,1999
conversation_first,first_3m,8,2000,0.382,2000
conversation_first,first_3m,10,2000,0.426,2000
conversation_first,first_3m,15,2000,0.555,2000
conversation_first,first_3m,20,2000,0.61,2000
conversation_first,first_3m,30,2000,0.8005,2000
conversation_first,first_3m,40,2000,0.9195,2000
conversation_first,first_3m,56,1,1.0,1
conversation_first,first_5m,2,2000,0.278,1768
conversation_first,first_5m,3,2000,0.3705,1973
conversation_first,first_5m,5,2000,0.429,1999
conversation_first,first_5m,8,2000,0.5355,2000
conversation_first,first_5m,10,2000,0.6075,2000
conversation_first,first_5m,15,2000,0.708,2000
conversation_first,first_5m,20,2000,0.793,2000
conversation_first,first_5m,30,2000,0.8915,2000
conversation_first,first_5m,40,2000,0.9375,2000
conversation_first,first_5m,56,1,1.0,1
conversation_first,full,2,2000,0.31,1768
conversation_first,full,3,2000,0.3815,1973
conversation_first,full,5,2000,0.439,1999
conversation_first,full,8,2000,0.5115,2000
conversation_first,full,10,2000,0.572,2000
conversation_first,full,15,2000,0.6605,2000
conversation_first,full,20,2000,0.7615,2000
conversation_first,full,30,2000,0.897,2000
conversation_first,full,40,2000,0.95,2000
conversation_first,full,56,1,1.0,1
pooled_observations,first_30s,2,2000,0.0545,1518
pooled_observations,first_30s,3,2000,0.0905,1819
pooled_observations,first_30s,5,2000,0.117,1969
pooled_observations,first_30s,8,2000,0.117,2000
pooled_observations,first_30s,10,2000,0.1245,2000
pooled_observations,first_30s,15,2000,0.1065,2000
pooled_observations,first_30s,20,2000,0.0755,2000
pooled_observations,first_30s,30,2000,0.0355,2000
pooled_observations,first_30s,40,2000,0.0055,2000
pooled_observations,first_30s,56,1,0.0,1
pooled_observations,first_1m,2,2000,0.0905,1729
pooled_observations,first_1m,3,2000,0.092,1955
pooled_observations,first_1m,5,2000,0.1005,1992
pooled_observations,first_1m,8,2000,0.095,2000
pooled_observations,first_1m,10,2000,0.0945,2000
pooled_observations,first_1m,15,2000,0.0905,2000
pooled_observations,first_1m,20,2000,0.077,2000
pooled_observations,first_1m,30,2000,0.042,2000
pooled_observations,first_1m,40,2000,0.008,2000
pooled_observations,first_1m,56,1,0.0,1
pooled_observations,first_2m,2,2000,0.1425,1768
pooled_observations,first_2m,3,2000,0.239,1973
pooled_observations,first_2m,5,2000,0.314,1999
pooled_observations,first_2m,8,2000,0.425,2000
pooled_observations,first_2m,10,2000,0.5075,2000
pooled_observations,first_2m,15,2000,0.6475,2000
pooled_observations,first_2m,20,2000,0.7275,2000
pooled_observations,first_2m,30,2000,0.8995,2000
pooled_observations,first_2m,40,2000,0.985,2000
pooled_observations,first_2m,56,1,1.0,1
pooled_observations,first_3m,2,2000,0.163,1768
pooled_observations,first_3m,3,2000,0.257,1973
pooled_observations,first_3m,5,2000,0.3645,1999
pooled_observations,first_3m,8,2000,0.491,2000
pooled_observations,first_3m,10,2000,0.5535,2000
pooled_observations,first_3m,15,2000,0.672,2000
pooled_observations,first_3m,20,2000,0.7815,2000
pooled_observations,first_3m,30,2000,0.9075,2000
pooled_observations,first_3m,40,2000,0.98,2000
pooled_observations,first_3m,56,1,1.0,1
pooled_observations,first_5m,2,2000,0.193,1768
pooled_observations,first_5m,3,2000,0.2845,1973
pooled_observations,first_5m,5,2000,0.4535,1999
pooled_observations,first_5m,8,2000,0.599,2000
pooled_observations,first_5m,10,2000,0.6465,2000
pooled_observations,first_5m,15,2000,0.8195,2000
pooled_observations,first_5m,20,2000,0.8955,2000
pooled_observations,first_5m,30,2000,0.9755,2000
pooled_observations,first_5m,40,2000,0.9995,2000
pooled_observations,first_5m,56,1,1.0,1
pooled_observations,full,2,2000,0.2275,1768
pooled_observations,full,3,2000,0.3405,1973
pooled_observations,full,5,2000,0.483,1999
pooled_observations,full,8,2000,0.6345,2000
pooled_observations,full,10,2000,0.711,2000
pooled_observations,full,15,2000,0.8595,2000
pooled_observations,full,20,2000,0.9305,2000
pooled_observations,full,30,2000,0.99,2000
pooled_observations,full,40,2000,1.0,2000
pooled_observations,full,56,1,1.0,1
