collection_number,collection,view,png,pdf,description
1,Paper figures,Figure 1: group CDS,assets/supporting/fig1_group_cds.png,assets/supporting/fig1_group_cds.pdf,
1,Paper figures,Figure 2: callers and recording length,assets/supporting/fig2_caller_duration.png,assets/supporting/fig2_caller_duration.pdf,
1,Paper figures,Figure 3: conversation clouds,assets/supporting/fig3_conversation_clouds.png,assets/supporting/fig3_conversation_clouds.pdf,
2,Behavioural features across conversation groups,Phone rate,assets/behavior/group-allosaurus_rate.png,assets/behavior/group-allosaurus_rate.pdf,50 HSC splits per group and anchor. Counts refer to conversations.
2,Behavioural features across conversation groups,Sylber rate,assets/behavior/group-sylber_rate.png,assets/behavior/group-sylber_rate.pdf,50 HSC splits per group and anchor. Counts refer to conversations.
2,Behavioural features across conversation groups,Sylber unit duration,assets/behavior/group-sylber_duration.png,assets/behavior/group-sylber_duration.pdf,50 HSC splits per group and anchor. Counts refer to conversations.
2,Behavioural features across conversation groups,nPVI,assets/behavior/group-sylber_npvi.png,assets/behavior/group-sylber_npvi.pdf,50 HSC splits per group and anchor. Counts refer to conversations.
2,Behavioural features across conversation groups,Turn-final lengthening,assets/behavior/group-sylber_final_lengthening.png,assets/behavior/group-sylber_final_lengthening.pdf,50 HSC splits per group and anchor. Counts refer to conversations.
2,Behavioural features across conversation groups,Turn duration,assets/behavior/group-turn_duration.png,assets/behavior/group-turn_duration.pdf,50 HSC splits per group and anchor. Counts refer to conversations.
2,Behavioural features across conversation groups,Signed response gap,assets/behavior/group-signed_response_gap.png,assets/behavior/group-signed_response_gap.pdf,50 HSC splits per group and anchor. Counts refer to conversations.
2,Behavioural features across conversation groups,Floor-time share,assets/behavior/group-floor_time_share.png,assets/behavior/group-floor_time_share.pdf,50 HSC splits per group and anchor. Counts refer to conversations.
3,CDS correlations with listener preferences,All 12 measurements,assets/behavior/cds-listener-correlations.png,assets/behavior/cds-listener-correlations.pdf,294 conversation pairs; 255 have a directional listener preference; 39 are ties.
4,CDS and listener system rankings,Phone rate,assets/behavior/systems-allosaurus_rate.png,assets/behavior/systems-allosaurus_rate.pdf,Four systems; 296 eligible AI conversations in each anchor analysis.
4,CDS and listener system rankings,Sylber rate,assets/behavior/systems-sylber_rate.png,assets/behavior/systems-sylber_rate.pdf,Four systems; 296 eligible AI conversations in each anchor analysis.
4,CDS and listener system rankings,Sylber unit duration,assets/behavior/systems-sylber_duration.png,assets/behavior/systems-sylber_duration.pdf,Four systems; 296 eligible AI conversations in each anchor analysis.
4,CDS and listener system rankings,nPVI,assets/behavior/systems-sylber_npvi.png,assets/behavior/systems-sylber_npvi.pdf,Four systems; 296 eligible AI conversations in each anchor analysis.
4,CDS and listener system rankings,Turn-final lengthening,assets/behavior/systems-sylber_final_lengthening.png,assets/behavior/systems-sylber_final_lengthening.pdf,Four systems; 296 eligible AI conversations in each anchor analysis.
4,CDS and listener system rankings,Turn duration,assets/behavior/systems-turn_duration.png,assets/behavior/systems-turn_duration.pdf,Four systems; 297 eligible AI conversations in each anchor analysis.
4,CDS and listener system rankings,Signed response gap,assets/behavior/systems-signed_response_gap.png,assets/behavior/systems-signed_response_gap.pdf,Four systems; 297 eligible AI conversations in each anchor analysis.
4,CDS and listener system rankings,Floor-time share,assets/behavior/systems-floor_time_share.png,assets/behavior/systems-floor_time_share.pdf,Four systems; 297 eligible AI conversations in each anchor analysis.
4,CDS and listener system rankings,Pace family,assets/behavior/systems-pace.png,assets/behavior/systems-pace.pdf,Four systems; 296 eligible AI conversations in each anchor analysis.
4,CDS and listener system rankings,Rhythm family,assets/behavior/systems-rhythm.png,assets/behavior/systems-rhythm.pdf,Four systems; 296 eligible AI conversations in each anchor analysis.
4,CDS and listener system rankings,Interaction family,assets/behavior/systems-interaction.png,assets/behavior/systems-interaction.pdf,Four systems; 296 eligible AI conversations in each anchor analysis.
4,CDS and listener system rankings,Overall CDS,assets/behavior/systems-overall.png,assets/behavior/systems-overall.pdf,Four systems; 296 eligible AI conversations in each anchor analysis.
5,Agreement on system pairs,Behavioural CDS: HSC–MSC,assets/behavior/behavior-agreement-hsc_msc.png,assets/behavior/behavior-agreement-hsc_msc.pdf,Yes means the same system ranks higher in both the metric and listener fit.
